,어종,산지,평균가,최종수량,year,month,day,date,1kg price
334,(선)깐굴,통영,8300,172.5,2006,4,27,2006.04,5533.33
335,(선)깐굴,삼천포,10000,50.0,2006,4,27,2006.04,5000.0
336,(선)깐굴,통영,8000,92.8,2006,4,27,2006.04,5000.0
337,(선)깐굴,통영,7100,220.0,2006,4,27,2006.04,7100.0
338,(선)깐굴,통영,8000,90.0,2006,4,27,2006.04,8888.89
339,(선)깐굴,남해,8000,32.0,2006,4,27,2006.04,5000.0
340,(선)깐굴,통영,14000,115.0,2006,4,27,2006.04,6086.96
341,(선)깐굴,통영,14500,290.4000000000001,2006,4,27,2006.04,6590.91
342,(선)깐굴,삼천포,8800,159.6,2006,4,27,2006.04,4631.58
343,(선)깐굴,통영,11000,150.0,2006,4,27,2006.04,4400.0
344,(선)깐굴,통영,11100,297.6,2006,4,27,2006.04,4625.0
345,(선)깐굴,통영,10600,1358.4,2006,4,28,2006.04,4416.67
346,(선)깐굴,삼천포,9200,95.4,2006,4,28,2006.04,5111.11
347,(선)깐굴,삼천포,6500,21.0,2006,4,28,2006.04,4333.33
348,(선)깐굴,남해,10500,36.0,2006,4,28,2006.04,5833.33
349,(선)깐굴,통영,5100,149.60000000000005,2006,4,28,2006.04,4636.36
350,(선)깐굴,통영,6900,730.8000000000003,2006,4,28,2006.04,3285.71
351,(선)깐굴,통영,2000,59.5,2006,4,28,2006.04,1176.47
352,(선)깐굴,남해,5000,8.0,2006,4,28,2006.04,1250.0
353,(선)깐굴,남해,6000,30.0,2006,4,28,2006.04,4000.0
354,(선)깐굴,통영,6000,36.0,2006,4,28,2006.04,4000.0
355,(선)깐굴,삼천포,9400,50.0,2006,4,28,2006.04,4700.0
356,(선)깐굴,통영,6100,217.6,2006,4,28,2006.04,3812.5
357,(선)깐굴,통영,5700,375.0,2006,4,28,2006.04,5700.0
358,(선)깐굴,남해,8000,59.5,2006,4,28,2006.04,4705.88
359,(선)깐굴,통영,6700,384.3,2006,4,28,2006.04,7444.44
360,(선)깐굴,통영,5200,154.1,2006,4,28,2006.04,2260.87
361,(선)깐굴,통영,10500,321.2000000000001,2006,4,28,2006.04,4772.73
362,(선)깐굴,삼천포,11900,117.8,2006,4,28,2006.04,6263.16
363,(선)깐굴,통영,6500,200.0,2006,4,28,2006.04,3250.0
364,(선)깐굴,통영,11900,213.6,2006,4,29,2006.04,4958.33
365,(선)깐굴,삼천포,17000,37.8,2006,4,29,2006.04,9444.44
